date,total,active,expired,dated,tier
2026-06-21,268,268,0,8,A
2026-06-21,268,268,0,8,A
2026-06-21,268,268,0,8,A
2026-06-21,268,268,0,8,A
2026-06-21,276,276,0,8,A
2026-06-21,276,276,0,8,A
2026-06-22,294,294,0,8,A
2026-06-23,352,352,0,8,A
2026-06-24,406,406,0,8,A
2026-06-25,463,463,0,8,A
2026-06-26,516,516,0,8,A
2026-06-27,538,538,0,8,A
2026-06-28,551,550,1,7,A
2026-06-29,601,599,2,6,A
2026-06-30,647,644,3,5,A
2026-07-01,713,710,3,5,A
2026-07-02,757,754,3,5,A
2026-07-03,799,796,3,5,A
2026-07-04,820,817,3,5,A
2026-07-05,837,834,3,5,A
2026-07-06,852,848,4,4,A
2026-07-07,902,897,5,3,A
2026-07-08,965,960,5,3,A
2026-07-09,1022,1017,5,3,A
2026-07-10,1072,1067,5,3,A
2026-07-11,1096,1091,5,3,A
2026-07-12,1110,1105,5,3,A
2026-07-13,1161,1156,5,3,A
2026-07-14,1213,1208,5,3,A
2026-07-15,1260,1255,5,3,A
2026-07-16,1315,1310,5,3,A
2026-07-17,1377,1372,5,3,A
2026-07-18,1399,1394,5,3,A
2026-07-19,1416,1411,5,3,A
2026-07-20,1463,1458,5,3,A
2026-07-21,1507,1502,5,3,B
2026-07-22,1564,1559,5,3,B
2026-07-23,1611,1606,5,3,B
2026-07-24,1661,1656,5,3,B
